date,miles,cumulative_miles,daily_miles,cumulative_daily_miles,daily_miles_difference,daily_miles_cumulative_difference
2018-01-04 00:00:00+00:00,0.4646613775550783,10.588040841485723,2.857142857142857,11.428571428571429,0.1626314821442774,0.9264535736300008
2018-01-05 00:00:00+00:00,3.509318082398791,14.097358923884514,2.857142857142857,14.285714285714286,1.2282613288395767,0.9868151246719159
2018-01-06 00:00:00+00:00,3.7396603833611706,17.837019307245683,2.857142857142857,17.142857142857142,1.3088811341764097,1.0404927929226648
2018-01-07 00:00:00+00:00,2.426703054163684,20.263722361409368,2.857142857142857,20.0,0.8493460689572894,1.0131861180704684
2018-01-08 00:00:00+00:00,2.1804536506800285,22.444176012089397,2.857142857142857,22.857142857142858,0.76315877773801,0.9819327005289111
2018-01-09 00:00:00+00:00,0.25426509186351703,22.698441103952913,2.857142857142857,25.714285714285715,0.08899278215223096,0.8827171540426132
2018-01-10 00:00:00+00:00,7.064990455738488,29.7634315596914,2.857142857142857,28.571428571428573,2.472746659508471,1.041720104589199
2018-01-11 00:00:00+00:00,3.3069374850870914,33.070369044778495,2.857142857142857,31.42857142857143,1.1574281197804819,1.0522390150611338
2018-01-12 00:00:00+00:00,4.619521991569235,37.68989103634773,2.857142857142857,34.285714285714285,1.6168326970492324,1.0992884885601422
2018-01-13 00:00:00+00:00,1.2500124274238447,38.93990346377158,2.857142857142857,37.14285714285714,0.4375043495983456,1.0483820163323119
2018-01-14 00:00:00+00:00,2.3710903324584427,41.31099379623002,2.857142857142857,39.99999999999999,0.8298816163604549,1.0327748449057508
2018-01-15 00:00:00+00:00,5.322852044062674,46.63384584029269,2.857142857142857,42.85714285714285,1.8629982154219358,1.0881230696068298
2018-01-16 00:00:00+00:00,0.3463523025530899,46.980198142845786,2.857142857142857,45.7142857142857,0.12122330589358146,1.0276918343747519
2018-01-17 00:00:00+00:00,3.8986071343354807,50.878805277181264,2.857142857142857,48.571428571428555,1.3645124970174183,1.0475048145302028
2018-01-18 00:00:00+00:00,1.4369208820488348,52.3157261592301,2.857142857142857,51.42857142857141,0.5029223087170922,1.017250230873919
